,bizesNm,indsLclsNm,indsSclsNm,rdnmAdr,lon,lat
282,GS25동국사랑점,소매,편의점,서울특별시 중구 동호로25길 45,127.001042466795,37.5594321837309
283,신성전자통신,소매,핸드폰소매,서울특별시 중구 동호로28길 12,127.003671350007,37.5600580975768
284,비지에프리테일중구장충체육관1,소매,편의점,서울특별시 중구 동호로 241,127.006655756522,37.5586325633875
285,비노파라다이스,소매,식료품점,서울특별시 중구 동호로28길 12,127.003365781413,37.5600555185019
286,서진아트스페이스,소매,화방/필방,서울특별시 중구 동호로27길 30,127.002145813008,37.5607209968448
287,엑설런스랩,학문/교육,학원(종합),서울특별시 중구 필동로1길 40,126.998499583547,37.5591493378003
288,카페로비,음식,한식/백반/한정식,서울특별시 중구 동호로 272,127.003614123929,37.5592556852112
289,오일플래닝,소매,자동차부품판매,서울특별시 중구 장충단로 202,127.007019967835,37.5627443895268
290,하이밸류컨설팅,생활서비스,사업경영상담,서울특별시 중구 퇴계로 272,127.001936970622,37.5628006428627
291,혜화카페,음식,커피전문점/카페/다방,서울특별시 중구 필동로1길 40,126.998499583547,37.5591493378003
292,경동어린이집,학문/교육,어린이집,서울특별시 중구 장충단로 204,127.007196508945,37.5630882709895
293,문바,음식,빠/카페/스탠드빠,서울특별시 중구 장충단로 60,127.000477149256,37.5500655435994
294,피아자셈피오네신라호텔서울,소매,일반의류,서울특별시 중구 동호로 249,127.007686128987,37.5577491936384
295,라연,음식,패밀리레스토랑,서울특별시 중구 동호로 249,127.007686128987,37.5577491936384
296,라콘티넨탈,음식,기타전문서양음식점,서울특별시 중구 동호로 249,127.007686128987,37.5577491936384
297,정통돈까쓰이야기,음식,돈가스전문점,서울특별시 중구 퇴계로52길 22,127.003822558359,37.5623029732879
298,신세계음향,소매,음반/테이프/CD,서울특별시 중구 장충단로6가길 15-4,127.00823888073,37.5613039539837
299,아구랑꽃게랑,음식,해물찜/탕전문,서울특별시 중구 동호로24길 35-5,127.005042602986,37.5607814865372
300,킹스뷔페,음식,종합부페,서울특별시 중구 동호로 287,127.002102585991,37.5605674539981
301,네이처리퍼블릭신라면세점장충점,소매,화장품판매점,서울특별시 중구 동호로 249,127.007686128987,37.5577491936384
302,로비라운지&델리,음식,커피전문점/카페/다방,서울특별시 중구 동호로 287,127.002102585991,37.5605674539981
303,강건너대장금,음식,한식/백반/한정식,서울특별시 중구 동호로 235-14,127.007008183889,37.5576623996884
