,bizesNm,indsLclsNm,indsSclsNm,rdnmAdr,lon,lat
432,스튜디오에이엠,생활서비스,사진관,서울특별시 서대문구 연세로5다길 41,126.933235712924,37.5568837291414
433,비아37,음식,기타전문서양음식점,서울특별시 서대문구 이화여대길 77-1,126.944116869631,37.5589728422998
434,고기랑,음식,갈비/삼겹살,서울특별시 서대문구 연세로5다길 6,126.935211985683,37.5563969868074
435,마디마다네일,생활서비스,발/네일케어,서울특별시 서대문구 신촌로 149,126.942482942316,37.5568587947185
436,판다헤어,생활서비스,여성미용실,서울특별시 서대문구 이화여대1길 42-1,126.943371360622,37.5572632067273
437,래쉬에이,생활서비스,비만/피부관리,서울특별시 서대문구 신촌로 149,126.942482942316,37.5568587947185
438,용범이네인계동껍데기,음식,갈비/삼겹살,서울특별시 서대문구 연세로7길 21,126.935625611754,37.5575540472474
439,샤브향,음식,샤브샤브전문,서울특별시 서대문구 이화여대3길 33,126.943827334726,37.5578349419748
440,영미김밥,음식,라면김밥분식,서울특별시 서대문구 신촌역로 21,126.942468920475,37.5586517389342
441,비아메렝게,음식,기타전문서양음식점,서울특별시 서대문구 명물길 27-18,126.938089146478,37.5586214369483
442,시크헤어,생활서비스,여성미용실,서울특별시 서대문구 이화여대길 86,126.943660756237,37.5592120430103
443,애니타임호텔,숙박,모텔/여관/여인숙,서울특별시 서대문구 연세로2나길 11,126.938027381181,37.5565935418538
444,숨,생활서비스,행사대행,서울특별시 서대문구 연세로5다길 41,126.933235712924,37.5568837291414
445,으뜸플러스안경,소매,안경원,서울특별시 서대문구 명물길 19,126.937599645413,37.558022346971
446,팀파시강북,스포츠,기타경기후원업/경기단체,서울특별시 서대문구 신촌역로 4,126.943090733215,37.5570985076526
447,파이디지털헬스케어,소매,의료용품소매,서울특별시 서대문구 성산로 543,126.945279183689,37.5648399896745
448,수카페&쿠킹스튜디오,음식,커피전문점/카페/다방,서울특별시 서대문구 신촌로1길 7,126.928114974009,37.5588106254793
449,탐정크루,관광/여가/오락,기타오락관련산업,서울특별시 서대문구 연세로 35,126.936695631183,37.5587170195711
450,법인예삐원예,소매,꽃집/꽃배달,서울특별시 서대문구 이화여대길 33,126.945606885088,37.558454544993
451,백미당,음식,커피전문점/카페/다방,서울특별시 서대문구 신촌로 83,126.935827820491,37.556069154454
452,차이797,음식,중국음식/중국집,서울특별시 서대문구 신촌로 83,126.935827820491,37.556069154454
453,주시회사뉴웨이메이커스,소매,맞춤양장/양장점,서울특별시 서대문구 북아현로 150,126.95104629593,37.5684775093038
454,피슈마라홍탕,음식,중국음식/중국집,서울특별시 서대문구 신촌로 73,126.934500325448,37.5563004624862
455,청년국수,음식,국수/만두/칼국수,서울특별시 서대문구 연세로12길 23,126.938309092793,37.5590739348532
456,소나헤어,생활서비스,여성미용실,서울특별시 서대문구 이화여대3길 8,126.945249824012,37.5580909395376
457,멜로우바버샵,생활서비스,남성미용실,서울특별시 서대문구 이화여대1길 38,126.943596931865,37.5573192876958
458,레벨업,음식,커피전문점/카페/다방,서울특별시 서대문구 이화여대8길 3,126.946053850812,37.5588640039904
459,예원닭강정,음식,후라이드/양념치킨,서울특별시 서대문구 연세로4길 67,126.940058033636,37.5586571503714
460,이화마약떡볶이,음식,라면김밥분식,서울특별시 서대문구 이화여대5길 7-1,126.945360960781,37.5582360987939
461,그레이스,소매,맞춤양장/양장점,서울특별시 서대문구 이화여대길 72-6,126.944551877613,37.5594272519755
462,신룽푸마라탕,음식,중국음식/중국집,서울특별시 서대문구 이화여대길 48,126.945858923752,37.5590424717547
463,루움스포츠,소매,캐쥬얼/스포츠의류,서울특별시 서대문구 신촌로 83,126.935827820491,37.556069154454
464,"부산완당,부산밀면",음식,한정식전문,서울특별시 서대문구 연세로 41,126.936744918335,37.5592310559645
465,랭스터디카페,음식,커피전문점/카페/다방,서울특별시 서대문구 이화여대길 42,126.945838701439,37.5588710935605
466,애플즈,생활서비스,정보통신기기수리,서울특별시 서대문구 명물길 36-3,126.938841428736,37.5582497642255
467,짐피닉스크로스핏신촌,스포츠,헬스클럽,서울특별시 서대문구 명물길 10,126.93750649323,37.557408801679
468,디케이하우스,숙박,모텔/여관/여인숙,서울특별시 서대문구 이화여대1안길 15,126.944227745064,37.5575321695884
469,위고인호스텔,숙박,호텔/콘도,서울특별시 서대문구 신촌로 141,126.941554976799,37.5568504792137
470,에스에스원헤어,생활서비스,여성미용실,서울특별시 서대문구 신촌로 169-1,126.944745512129,37.5569331014692
471,바론드파리호텔,숙박,호텔/콘도,서울특별시 서대문구 연세로2나길 8,126.938300257832,37.5565058920125
472,이층집,음식,갈비/삼겹살,서울특별시 서대문구 연세로7안길 34-6,126.935048234895,37.5583597762156
473,마미당1948,음식,한식/백반/한정식,서울특별시 서대문구 연세로7안길 34-3,126.934833984181,37.5583037810733
474,더케이프린팅,생활서비스,컴퓨터수리,서울특별시 서대문구 신촌로 51,126.932260940735,37.5569830423763
475,현대신촌라코스떼우먼,소매,캐쥬얼/스포츠의류,서울특별시 서대문구 신촌로 83,126.935827820491,37.556069154454
476,포석정별관,음식,호프/맥주,서울특별시 서대문구 연세로11길 22,126.93561616708,37.5590136461069
477,달려라팬,음식,스파게티전문점,서울특별시 서대문구 명물길 50-6,126.939312777457,37.5585333221157
478,자딕&볼테르,소매,맞춤양장/양장점,서울특별시 서대문구 신촌로 83,126.935827820491,37.556069154454
479,가온태권도장,학문/교육,태권도장,서울특별시 서대문구 신촌로 61,126.933431562739,37.5566422178804
480,포크스튜디오,생활서비스,사진관,서울특별시 서대문구 이화여대7길 10,126.945160445318,37.5588109731823
481,굿헤어,생활서비스,여성미용실,서울특별시 서대문구 이화여대1길 22,126.944547283118,37.5573458081119
482,이춘봉인생치킨,음식,후라이드/양념치킨,서울특별시 서대문구 연세로5가길 8-6,126.936418679748,37.5574981214941
483,닭꼬치야,음식,호프/맥주,서울특별시 서대문구 신촌로11길 12,126.932993438974,37.5572059140642
484,잉겔스,음식,커피전문점/카페/다방,서울특별시 서대문구 연희로2길 62,126.927838204593,37.5591685279012
485,쉐르빌리빙텔,학문/교육,고시원,서울특별시 서대문구 신촌역로 13,126.942548790482,37.5578054766909
486,엠아이티,소매,전화기판매,서울특별시 서대문구 신촌로 7,126.927812257999,37.5586096481964
487,메종드시크릿,관광/여가/오락,기타오락관련산업,서울특별시 서대문구 연세로 30,126.937120883961,37.5582613185491
488,허프퍼프,음식,정통양식/경양식,서울특별시 서대문구 연세로11길 20,126.935740653596,37.5590147683405
489,레인보울45도,음식,생과일주스전문점,서울특별시 서대문구 연세로2다길 56,126.941548477463,37.5573099514173
490,도산하우스,숙박,민박/하숙,서울특별시 서대문구 봉원사2길 10-4,126.947129452038,37.5676857686038
491,수호비의폴리머클레이,소매,액세서리판매,서울특별시 서대문구 이화여대길 88-11,126.94369279943,37.5593474857015
492,코쿤캅,음식,기타일반유흥주점,서울특별시 서대문구 신촌역로 22-5,126.942467265119,37.5587688593019
493,씨아이에스,생활서비스,청소/소독,서울특별시 서대문구 신촌로7안길 50,126.930675270659,37.5602304529211
494,오엠이,소매,예술품/골동품소매,서울특별시 서대문구 이화여대길 88-9,126.943579883484,37.559328454586
495,베네비치,소매,액세서리판매,서울특별시 서대문구 신촌로7길 50-7,126.933000924035,37.559062122737
496,플로체,소매,꽃집/꽃배달,서울특별시 서대문구 연세로5다길 34,126.933756149349,37.5568974407512
497,가인민화공방,소매,예술품/골동품소매,서울특별시 서대문구 이화여대길 52-45,126.945343817334,37.5594523498704
498,통인동커피공방신촌로스팅라이브러리,음식,한식/백반/한정식,서울특별시 서대문구 신촌로 83,126.935827820491,37.556069154454
