,bizesId,bizesNm,brchNm,indsLclsCd,indsLclsNm,indsMclsCd,indsMclsNm,indsSclsCd,indsSclsNm,ksicCd,ksicNm,ctprvnCd,ctprvnNm,signguCd,signguNm,adongCd,adongNm,ldongCd,ldongNm,lnoCd,plotSctCd,plotSctNm,lnoMnno,lnoSlno,lnoAdr,rdnmCd,rdnm,bldMnno,bldSlno,bldMngNo,bldNm,rdnmAdr,oldZipcd,newZipcd,dongNo,flrNo,hoNo,lon,lat,naver_keyword,naver_map_url,naver_store_type,naver_blog_review_qty
450,20001426,김가네서울대점,서울대점,Q,음식,Q04,분식,Q04A01,라면김밥분식,I56194,분식 및 김밥 전문점,11,서울특별시,11620,관악구,1162073500,대학동,1162010200,신림동,1162010200102410022,1,대지,241,22,서울특별시 관악구 신림동 241-22,116203120005,서울특별시 관악구 신림로,91,,1162010200102410022005341,,서울특별시 관악구 신림로 91,151858,08814,,1,,126.939068177271,37.4703277037053,김가네서울대점%20대학동,https://m.place.naver.com/restaurant/21626581,김밥,188.0
451,20002837,모아아트,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11620,관악구,1162073500,대학동,1162010200,신림동,1162010200200560001,2,산,56,1,서울특별시 관악구 신림동 산56-1,116203120001,서울특별시 관악구 관악로,1,,1162010100102390001031057,서울대학교,서울특별시 관악구 관악로 1,151742,08826,,-2,,126.959279517057,37.4680295491979,모아아트%20대학동,https://m.place.naver.com/restaurant/1483519576,미용실,625.0
452,20014236,찌개가맛있는집,,Q,음식,Q01,한식,Q01A07,부대찌개/섞어찌개,I56111,한식 음식점업,11,서울특별시,11620,관악구,1162073500,대학동,1162010200,신림동,1162010200102550087,1,대지,255,87,서울특별시 관악구 신림동 255-87,116204160507,서울특별시 관악구 신림로19길,83,,1162010200102550087005614,동신고시원,서울특별시 관악구 신림로19길 83,151015,08819,,1,,126.936043660763,37.4667683811313,찌개가맛있는집%20대학동,https://m.place.naver.com/restaurant/1357454089,"찌개,전골",1.0
453,20074704,자부심,,Q,음식,Q01,한식,Q01A01,한식/백반/한정식,I56111,한식 음식점업,11,서울특별시,11620,관악구,1162073500,대학동,1162010200,신림동,1162010200102550012,1,대지,255,12,서울특별시 관악구 신림동 255-12,116204160310,서울특별시 관악구 대학14길,11,,1162010200102550012007181,,서울특별시 관악구 대학14길 11,151015,08820,,1,,126.937046364847,37.4662097418188,자부심%20대학동,https://m.place.naver.com/restaurant/1092303500,한식,21.0
454,20078519,맛있는세상,,Q,음식,Q01,한식,Q01A01,한식/백반/한정식,I56111,한식 음식점업,11,서울특별시,11620,관악구,1162073500,대학동,1162010200,신림동,1162010200102510410,1,대지,251,410,서울특별시 관악구 신림동 251-410,116204160500,서울특별시 관악구 신림로11길,91,,1162010200102510410006955,,서울특별시 관악구 신림로11길 91,151859,08817,,1,,126.938740535603,37.4663150751022,맛있는세상%20대학동,https://m.place.naver.com/restaurant/18731171,0,
455,20080943,theB컵닭,,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,11,서울특별시,11620,관악구,1162073500,대학동,1162010200,신림동,1162010200115360002,1,대지,1536,2,서울특별시 관악구 신림동 1536-2,116204160504,서울특별시 관악구 신림로17길,32,,1162010200115360002005564,,서울특별시 관악구 신림로17길 32,151895,08813,,-1,,126.936323892003,37.4693298944408,theB컵닭%20대학동,https://m.place.naver.com/restaurant/20034478,"치킨,닭강정",103.0
457,20297774,햇빛식당,,Q,음식,Q01,한식,Q01A01,한식/백반/한정식,I56111,한식 음식점업,11,서울특별시,11620,관악구,1162073500,대학동,1162010200,신림동,1162010200115420007,1,대지,1542,7,서울특별시 관악구 신림동 1542-7,116204160503,서울특별시 관악구 신림로15길,45,,1162010200115420007007061,N탑고시텔,서울특별시 관악구 신림로15길 45,151897,08819,,1,,126.93713056716,37.46824687934,햇빛식당%20대학동,https://m.place.naver.com/restaurant/1084698183,한식,18.0
458,20333093,옛날순대,,Q,음식,Q10,별식/퓨전요리,Q10A05,순대전문점,I56111,한식 음식점업,11,서울특별시,11620,관악구,1162073500,대학동,1162010200,신림동,1162010200102100000,1,대지,210,,서울특별시 관악구 신림동 210,116203120005,서울특별시 관악구 신림로,23,,1162010200102100000007306,관악산휴게소,서울특별시 관악구 신림로 23,151015,08825,,,,126.94549702368,37.4681776713142,옛날순대%20대학동,https://m.place.naver.com/restaurant/1545499643,0,
459,20380925,페리카나신림2점,신림2점,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,11,서울특별시,11620,관악구,1162073500,대학동,1162010200,신림동,1162010200102510461,1,대지,251,461,서울특별시 관악구 신림동 251-461,116204160321,서울특별시 관악구 대학길,70,,1162010200102510461006061,,서울특별시 관악구 대학길 70,151859,08819,,1,,126.937512628426,37.4676105677093,페리카나신림2점%20대학동,https://m.place.naver.com/restaurant/11677391,"치킨,닭강정",27.0
460,20382830,한마음스넥,,Q,음식,Q04,분식,Q04A05,스낵,I56194,분식 및 김밥 전문점,11,서울특별시,11620,관악구,1162073500,대학동,1162010200,신림동,1162010200102510011,1,대지,251,11,서울특별시 관악구 신림동 251-11,116204160500,서울특별시 관악구 신림로11길,65,,1162010200102510011006069,,서울특별시 관악구 신림로11길 65,151859,08817,,1,,126.938824178662,37.4675953219967,한마음스넥%20대학동,https://m.place.naver.com/restaurant/105407378,한식,1.0
461,20383327,신대성각,,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,11,서울특별시,11620,관악구,1162073500,대학동,1162010200,신림동,1162010200115420003,1,대지,1542,3,서울특별시 관악구 신림동 1542-3,116204160765,서울특별시 관악구 호암로22길,76,,1162010200115420003005864,,서울특별시 관악구 호암로22길 76,151897,08819,,1,,126.936912870632,37.4684521631263,신대성각%20대학동,https://m.place.naver.com/restaurant/20875687,중식당,154.0
463,20385178,고시칼국수냉면,,Q,음식,Q04,분식,Q04A02,국수/만두/칼국수,I56194,분식 및 김밥 전문점,11,서울특별시,11620,관악구,1162073500,대학동,1162010200,신림동,1162010200102550012,1,대지,255,12,서울특별시 관악구 신림동 255-12,116204160310,서울특별시 관악구 대학14길,11,,1162010200102550012007181,,서울특별시 관악구 대학14길 11,151015,08820,,,,126.937046364847,37.4662097418188,고시칼국수냉면%20대학동,https://m.place.naver.com/restaurant/37925738,"칼국수,만두",267.0
464,20388293,낙원정,,Q,음식,Q04,분식,Q04A01,라면김밥분식,I56194,분식 및 김밥 전문점,11,서울특별시,11620,관악구,1162073500,대학동,1162010200,신림동,1162010200102100000,1,대지,210,,서울특별시 관악구 신림동 210,116203120005,서울특별시 관악구 신림로,23,,1162010200102100000007306,관악산휴게소,서울특별시 관악구 신림로 23,151015,08825,,,,126.94549702368,37.4681776713142,낙원정%20대학동,https://m.place.naver.com/restaurant/11723134,0,
467,20390895,돼지마을한식,,Q,음식,Q01,한식,Q01A02,갈비/삼겹살,I56111,한식 음식점업,11,서울특별시,11620,관악구,1162073500,대학동,1162010200,신림동,1162010200102550086,1,대지,255,86,서울특별시 관악구 신림동 255-86,116204160310,서울특별시 관악구 대학14길,32,,1162010200102550086006223,,서울특별시 관악구 대학14길 32,151015,08819,,,,126.936090532738,37.4666516662557,돼지마을한식%20대학동,https://m.place.naver.com/restaurant/1289225998,정육식당,230.0
468,20410259,CafeNamoo,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11620,관악구,1162073500,대학동,1162010200,신림동,1162010200102510019,1,대지,251,19,서울특별시 관악구 신림동 251-19,116204160500,서울특별시 관악구 신림로11길,40,,1162010200102510020005784,,서울특별시 관악구 신림로11길 40,151859,08814,,1,,126.938639090923,37.468692944448,CafeNamoo%20대학동,https://m.place.naver.com/restaurant/38276374,카페,523.0
469,20468800,장우동,,Q,음식,Q04,분식,Q04A04,우동전문점,I56194,분식 및 김밥 전문점,11,서울특별시,11620,관악구,1162073500,대학동,1162010200,신림동,1162010200115190018,1,대지,1519,18,서울특별시 관악구 신림동 1519-18,116204160767,서울특별시 관악구 호암로24길,57,,1162010200115190018007213,,서울특별시 관악구 호암로24길 57,151895,08813,,1,,126.936378494287,37.4694655438712,장우동%20대학동,https://m.place.naver.com/restaurant/1345969313,"우동,소바",96.0
470,20470804,대가왕돈카츠,,Q,음식,Q04,분식,Q04A01,라면김밥분식,I56194,분식 및 김밥 전문점,11,서울특별시,11620,관악구,1162073500,대학동,1162010200,신림동,1162010200115370015,1,대지,1537,15,서울특별시 관악구 신림동 1537-15,116204160765,서울특별시 관악구 호암로22길,69,,1162010200115370015007071,신국고시원,서울특별시 관악구 호암로22길 69,151895,08813,,1,,126.936638783905,37.4686479285114,대가왕돈카츠%20대학동,https://m.place.naver.com/restaurant/38522363,돈가스,74.0
