,bizesNm,indsLclsNm,indsSclsNm,rdnmAdr,lon,lat
28,명신공인중개사사무소,부동산,주택공급,서울특별시 관악구 대학길 96,126.937450083539,37.4664386361476
29,Xbar,음식,정통양식/경양식,서울특별시 관악구 호암로24길 55,126.93615102086,37.4695626118435
30,커피드림,음식,정통양식/경양식,서울특별시 관악구 신림로 91,126.939068177271,37.4703277037053
31,세븐일레븐,소매,편의점,서울특별시 관악구 호암로24길 56,126.936154851364,37.469292330509
32,홍콩반점0410신림고시촌점,음식,중국음식/중국집,서울특별시 관악구 호암로24길 66,126.936777560348,37.4692258511461
33,윤머리방,생활서비스,여성미용실,서울특별시 관악구 대학길 119,126.938084364521,37.4655522951667
34,맛들의잔치,음식,정통양식/경양식,서울특별시 관악구 대학10길 22,126.936425737315,37.4677269370535
35,포도나무김밥,음식,라면김밥분식,서울특별시 관악구 호암로26길 48,126.936208882703,37.4702659538709
36,포포인,음식,동남아음식전문점,서울특별시 관악구 관악로 1,126.959279517057,37.4680295491979
37,토리헤어,생활서비스,여성미용실,서울특별시 관악구 대학길 6,126.93774591316,37.4702978028622
38,에이쓰리바우트커피,음식,빠/카페/스탠드빠,서울특별시 관악구 호암로26길 47,126.936217249631,37.4704732712977
39,소미당,음식,음식점-일식,서울특별시 관악구 대학6길 19,126.936521793956,37.4689262020186
40,SN축구클럽,스포츠,체육관,서울특별시 관악구 신림로 85,126.939904897221,37.4703171924534
41,먹깨비김밥만두,음식,라면김밥분식,서울특별시 관악구 호암로24길 47,126.935789310185,37.469559354641
42,장금이반찬&식당,음식,한식/백반/한정식,서울특별시 관악구 대학길 77,126.937721567418,37.4672249933985
43,파라다이스블루,음식,커피전문점/카페/다방,서울특별시 관악구 신림로21길 39,126.935259651064,37.4686445198176
44,순수,생활서비스,여성미용실,서울특별시 관악구 대학길 101,126.937646186637,37.4661610728554
45,해물나라곤드래밥,음식,한식/백반/한정식,서울특별시 관악구 호암로 588,126.933198131053,37.4697252097273
46,맘스터치대학동점,음식,패스트푸드,서울특별시 관악구 신림로 89,126.939509780853,37.4702776047928
47,제이콥스테이블,음식,커피전문점/카페/다방,서울특별시 관악구 호암로26가길 8,126.933854543201,37.4704699973242
48,쇼랜드치킨서울남부직영1호점,음식,호프/맥주,서울특별시 관악구 대학길 57,126.937776255672,37.4681535697484
49,티알티쏭스핫도그대학동점,음식,핫도그,서울특별시 관악구 신림로23길 16,126.934464937019,37.4704755033181
50,가마솥도시락,음식,도시락전문점,서울특별시 관악구 대학7길 49,126.940402666633,37.4686907512393
51,미송피부관리,생활서비스,비만/피부관리,서울특별시 관악구 대학길 17,126.938159341682,37.4698419819438
52,히포커피서울대점,음식,커피전문점/카페/다방,서울특별시 관악구 호암로24길 66,126.936777560348,37.4692258511461
53,카페녹다,음식,정통양식/경양식,서울특별시 관악구 신림로15길 31,126.937122785852,37.4687964516455
54,고씨네카레신림대학동점,음식,음식점-일식,서울특별시 관악구 호암로26길 49,126.936387186571,37.470447769536
55,카페인,음식,커피전문점/카페/다방,서울특별시 관악구 호암로24길 48,126.935758465359,37.4693428241826
56,미니스탑서울대정문점,소매,편의점,서울특별시 관악구 신림로 1,126.94764035541,37.4668902513176
57,철스뮤직,음식,호프/맥주,서울특별시 관악구 대학7길 13,126.938529242413,37.4684666944393
58,피오레,생활서비스,여성미용실,서울특별시 관악구 호암로22길 57,126.936015951927,37.4687234165997
59,메가커피대학점,음식,커피전문점/카페/다방,서울특별시 관악구 호암로26가길 2,126.933986475746,37.4707324928712
60,당신과나의귀한만남,음식,호프/맥주,서울특별시 관악구 대학길 47,126.937792488104,37.468604242181
61,백련초갈비탕,음식,갈비/삼겹살,서울특별시 관악구 신림로7길 8-1,126.941173695172,37.4701303373163
62,제징아이캔태권도,학문/교육,태권도장,서울특별시 관악구 신림로 129,126.934911839345,37.4708489640636
63,쓰리에스엠디,생활서비스,사업경영상담,서울특별시 관악구 대학5길 61,126.940918171704,37.4690107414717
64,기똥찬수제햄버거&컵밥,음식,패스트푸드,서울특별시 관악구 신림로17길 45,126.936446244478,37.4686732272289
65,머리치장미용실,생활서비스,여성미용실,서울특별시 관악구 호암로26길 70,126.937420277576,37.4701416959793
66,모던인테리어,소매,인테리어/욕실용품/커튼,서울특별시 관악구 대학길 57,126.937776255672,37.4681535697484
67,베트남쌀국수미스42,음식,동남아음식전문점,서울특별시 관악구 대학7길 17,126.938686851789,37.4685131628307
68,와와분식,음식,라면김밥분식,서울특별시 관악구 신림로7길 17,126.941562843765,37.4697914236649
69,갤러리당구클럽,관광/여가/오락,당구장,서울특별시 관악구 대학5길 17,126.938697357771,37.4693692575513
70,계경순대국,음식,순대전문점,서울특별시 관악구 호암로22길 22,126.933845201277,37.4687398921604
71,오성전기조명,소매,조명기구/전기용품,서울특별시 관악구 대학6길 52,126.934843015963,37.469325564869
72,경문고시원,학문/교육,고시원,서울특별시 관악구 대학4길 25,126.936410362177,37.4696099991657
73,구동커피,음식,커피전문점/카페/다방,서울특별시 관악구 신림로17길 43,126.936478622766,37.4687816450022
74,대양부동산공인중개사사무소,부동산,부동산중개,서울특별시 관악구 호암로22길 37,126.934747422044,37.4688921978109
75,두성학당고시원,학문/교육,고시원,서울특별시 관악구 호암로26가길 33-5,126.933871817836,37.4692537323151
76,백향고시원,학문/교육,고시원,서울특별시 관악구 신림로23길 40-6,126.93440282213,37.4692765432834
77,서울떡집,음식,떡전문,서울특별시 관악구 신림로23길 36,126.934582397984,37.4693682678682
78,서울대학교미술대학구내화방,소매,화방/필방,서울특별시 관악구 관악로 1,126.959279517057,37.4680295491979
79,송원고시원,학문/교육,고시원,서울특별시 관악구 신림로 15-250,126.942685408173,37.4575110960173
80,스시건,음식,음식점-초밥전문,서울특별시 관악구 호암로24길 35,126.935087089985,37.4696521437799
81,수피씨클럽,관광/여가/오락,인터넷PC방,서울특별시 관악구 호암로24길 56,126.936154851364,37.469292330509
82,신림피씨방,관광/여가/오락,인터넷PC방,서울특별시 관악구 호암로24길 46,126.935588402987,37.4693773344561
83,엘시에이공인중개사사무소,부동산,부동산중개,서울특별시 관악구 신림로3가길 45,126.941950336375,37.4687676934065
84,이레부동산중개인사무소,부동산,부동산중개,서울특별시 관악구 신림로 129,126.934911839345,37.4708489640636
85,제이마트,소매,할인점,서울특별시 관악구 신림로11길 48,126.938610531063,37.4683142456228
86,포춘고시원,학문/교육,고시원,서울특별시 관악구 호암로22가길 27,126.933090532212,37.4677509330138
87,피티데이휘트니스센터,스포츠,헬스클럽,서울특별시 관악구 신림로11길 11-23,126.939405528494,37.4696549425648
88,Tmhair,생활서비스,여성미용실,서울특별시 관악구 신림로3가길 63,126.941114523236,37.4687151536625
89,에뜨르보미용실,생활서비스,여성미용실,서울특별시 관악구 호암로26길 70,126.937420277576,37.4701416959793
90,투썸플레이스신림녹두거리점,음식,커피전문점/카페/다방,서울특별시 관악구 신림로 127,126.935229108334,37.4707977603718
91,소담한,음식,한식/백반/한정식,서울특별시 관악구 대학길 119,126.938084364521,37.4655522951667
92,VALUTO,음식,한식/백반/한정식,서울특별시 관악구 신림로23길 28,126.934678758659,37.4697475787821
93,비에이블스터디카페샤로수길센터,음식,커피전문점/카페/다방,서울특별시 관악구 호암로24길 63,126.936627680614,37.4694317445556
94,크린업24,생활서비스,세탁소/빨래방,서울특별시 관악구 신림로17길 59,126.936409711255,37.4680601824077
95,현대크리닝,생활서비스,세탁소/빨래방,서울특별시 관악구 신림로7가길 4,126.941742429848,37.4698831375122
96,미스터보쌈5379,음식,족발/보쌈전문,서울특별시 관악구 대학길 22,126.937776169825,37.4697574432009
97,미스사이공,음식,동남아음식전문점,서울특별시 관악구 대학7길 17,126.938686851789,37.4685131628307
98,담소소사골순대,음식,순대전문점,서울특별시 관악구 호암로24길 64,126.936584891844,37.4692601594445
99,오사카부르스,음식,음식점-일식,서울특별시 관악구 대학길 30,126.93765629403,37.4694409969993
100,쏙만두,음식,국수/만두/칼국수,서울특별시 관악구 대학길 35,126.937796524884,37.4691178786514
101,시온,소매,화장품판매점,서울특별시 관악구 신림로7나길 21-10,126.94058261711,37.4695573757897
102,월드크리닝,생활서비스,세탁소/빨래방,서울특별시 관악구 호암로26길 42,126.935949539268,37.4702185660787
103,한상준적성시험전문학원,학문/교육,학원-기타,서울특별시 관악구 호암로24길 64,126.936584891844,37.4692601594445
104,김금자미용실,생활서비스,여성미용실,서울특별시 관악구 신림로11길 11-13,126.93939027882,37.4699341320934
105,스튜디오디J,소매,카메라판매,서울특별시 관악구 관악로 1,126.959279517057,37.4680295491979
106,한아름마트,소매,수퍼마켓,서울특별시 관악구 신림로3길 40,126.941865368005,37.4667756044779
107,박자연착한음식이야기,음식,라면김밥분식,서울특별시 관악구 신림로21길 40,126.935033073459,37.4686785200357
108,미니스톱,소매,편의점,서울특별시 관악구 대학길 65,126.937794187883,37.4676851833433
109,옹헤야,음식,후라이드/양념치킨,서울특별시 관악구 대학6길 14,126.93691562551,37.469055893354
110,시스템,생활서비스,청소/소독,서울특별시 관악구 호암로 574,126.932659633233,37.4686390836759
111,린츠헤어샵,생활서비스,여성미용실,서울특별시 관악구 신림로3길 40,126.941865368005,37.4667756044779
112,부리또리꼬,음식,기타전문서양음식점,서울특별시 관악구 신림로21길 39,126.935259651064,37.4686445198176
113,녹두마을,음식,한식/백반/한정식,서울특별시 관악구 신림로11길 17,126.938975868746,37.4696600957206
114,상하이,음식,중국음식/중국집,서울특별시 관악구 신림로21길 40,126.935033073459,37.4686785200357
115,아마릴리스헤어살롱,생활서비스,여성미용실,서울특별시 관악구 호암로24길 38,126.935191760599,37.4694458449658
116,우리드라이방,생활서비스,세탁소/빨래방,서울특별시 관악구 신림로11길 64,126.938643200523,37.467602707085
117,비투박스코인노래연습장,관광/여가/오락,노래방,서울특별시 관악구 대학길 36,126.937559153526,37.4691157445638
118,백채김치찌개,음식,한식/백반/한정식,서울특별시 관악구 호암로24길 22,126.934307790284,37.4696000651604
119,베니헤어,생활서비스,여성미용실,서울특별시 관악구 신림로3가길 46,126.942172975732,37.4690129711633
120,24시레드헤어,생활서비스,여성미용실,서울특별시 관악구 대학길 101,126.937646186637,37.4661610728554
121,쿠버타코,음식,기타전문서양음식점,서울특별시 관악구 신림로 91,126.939068177271,37.4703277037053
122,베니샤로수헤어,생활서비스,여성미용실,서울특별시 관악구 신림로3가길 46,126.942172975732,37.4690129711633
123,꼴목,음식,한식/백반/한정식,서울특별시 관악구 신림로23길 29,126.93491728229,37.4696686343221
124,베니샤로수헤어,생활서비스,여성미용실,서울특별시 관악구 대학18길 46,126.936297989926,37.4639774054776
125,부동산라이프공인중개사사무소,부동산,부동산중개,서울특별시 관악구 대학길 23,126.937994760144,37.4694890922093
126,행님짬뽕,음식,중국음식/중국집,서울특별시 관악구 대학6길 10,126.937176241197,37.4690131851687
127,승리식당,음식,한식/백반/한정식,서울특별시 관악구 신림로 89,126.939509780853,37.4702776047928
128,제이김밥,음식,라면김밥분식,서울특별시 관악구 관악로 1,126.959279517057,37.4680295491979
129,친구들연탄구이,음식,한식/백반/한정식,서울특별시 관악구 대학길 58-3,126.937450246654,37.4680244911864
130,토즈스터디센터,학문/교육,독서실,서울특별시 관악구 호암로 602,126.933770811002,37.4707936206371
131,9동공인중개사사무소,부동산,부동산중개,서울특별시 관악구 대학길 46,126.93754253992,37.4686921003066
132,지지에이전시,생활서비스,행사대행,서울특별시 관악구 대학길 52,126.937537357225,37.4682595482716
133,구공족발,음식,한식/백반/한정식,서울특별시 관악구 대학길 31,126.937884402584,37.4692988791761
134,스페셜이벤트,생활서비스,행사대행,서울특별시 관악구 신림로15길 56,126.936672493178,37.4678643157949
135,범천,관광/여가/오락,안마시술소,서울특별시 관악구 호암로24길 1,126.933429231395,37.4701688116872
136,까까,생활서비스,여성미용실,서울특별시 관악구 호암로26길 35,126.935526963747,37.4705211178039
137,북광장서적,소매,서점,서울특별시 관악구 신림로 119,126.936044630846,37.470687969703
138,올바른버거,음식,패스트푸드,서울특별시 관악구 호암로24길 77,126.937590386013,37.4693052464922
139,더공간스터디카페신림,음식,커피전문점/카페/다방,서울특별시 관악구 호암로22길 60,126.936142969893,37.4685353391692
140,60계치킨,음식,후라이드/양념치킨,서울특별시 관악구 호암로26길 52,126.936548627896,37.4702239594869
141,신참떡볶이,음식,라면김밥분식,서울특별시 관악구 신림로23길 16,126.934464937019,37.4704755033181
142,카페,음식,커피전문점/카페/다방,서울특별시 관악구 호암로24길 24,126.934246412278,37.4699419115385
143,미니스톱,소매,편의점,서울특별시 관악구 신림로 1,126.94764035541,37.4668902513176
144,창경고시원,학문/교육,고시원,서울특별시 관악구 신림로23길 92-6,126.933892502093,37.4670012870418
145,부터써,음식,라면김밥분식,서울특별시 관악구 호암로26가길 4,126.933920573339,37.470596740431
146,다정곰탕,음식,설렁탕집,서울특별시 관악구 호암로22길 58,126.935973675729,37.4685157937598
147,반얀트리커피,음식,커피전문점/카페/다방,서울특별시 관악구 호암로22길 31,126.934498108885,37.4689350025523
148,마약타코야끼,음식,라면김밥분식,서울특별시 관악구 대학7길 2,126.937784499355,37.4683698965846
149,티티샵-통탱슈퍼,소매,수퍼마켓,서울특별시 관악구 대학길 39-5,126.937898892836,37.4690737461972
150,힙짐,스포츠,헬스클럽,서울특별시 관악구 대학5길 6,126.93798817282,37.4691556434314
151,윤슬식당,음식,한식/백반/한정식,서울특별시 관악구 대학7길 21,126.938868086829,37.4684877589359
152,리틀중국어,학문/교육,학원-외국어/어학,서울특별시 관악구 신림로11길 109-10,126.939448065949,37.4658438691569
153,컵오브커피,음식,커피전문점/카페/다방,서울특별시 관악구 호암로26길 36,126.935642682504,37.4703329392013
154,을찌로국물떡볶이,음식,떡볶이전문,서울특별시 관악구 대학길 31,126.937884402584,37.4692988791761
155,신화불닭발,음식,한식/백반/한정식,서울특별시 관악구 신림로23길 53,126.934672901464,37.4685671469798
156,한성텔레콤,소매,핸드폰소매,서울특별시 관악구 신림로11길 82,126.938564621889,37.4667640217193
